"Year","District","FIPS","Variable","Value","Measure Type"
"2012-2013","Torrington School District","900576570","Number of students with at least 1 bullying incident","10","Number"
"2012-2013","Torrington School District","900576570","Counts of Bullying Incidents","13","Number"
"2013-2014","Torrington School District","900576570","Number of students with at least 1 bullying incident","6","Number"
"2013-2014","Torrington School District","900576570","Counts of Bullying Incidents","6","Number"
"2014-2015","Torrington School District","900576570","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Torrington School District","900576570","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Torrington School District","900576570","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Torrington School District","900576570","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Trailblazers Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Trailblazers Academy District","","Counts of Bullying Incidents","7","Number"
"2013-2014","Trailblazers Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Trailblazers Academy District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Trailblazers Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Trailblazers Academy District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Trailblazers Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Trailblazers Academy District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Trumbull School District","900177200","Number of students with at least 1 bullying incident","7","Number"
"2012-2013","Trumbull School District","900177200","Counts of Bullying Incidents","7","Number"
"2013-2014","Trumbull School District","900177200","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Trumbull School District","900177200","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Trumbull School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Trumbull School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Trumbull School District","900177200","Number of students with at least 1 bullying incident","8","Number"
"2015-2016","Trumbull School District","900177200","Counts of Bullying Incidents","10","Number"
"2012-2013","Unified School District #1","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Unified School District #1","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Unified School District #1","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Unified School District #1","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Unified School District #1","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Unified School District #1","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Unified School District #1","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Unified School District #1","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Unified School District #2","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Unified School District #2","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Unified School District #2","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Unified School District #2","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Unified School District #2","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Unified School District #2","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Unified School District #2","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Unified School District #2","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Union School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Union School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Union School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Union School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Union School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Union School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Union School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Union School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Vernon School District","901378250","Number of students with at least 1 bullying incident","12","Number"
"2012-2013","Vernon School District","901378250","Counts of Bullying Incidents","15","Number"
"2013-2014","Vernon School District","901378250","Number of students with at least 1 bullying incident","7","Number"
"2013-2014","Vernon School District","901378250","Counts of Bullying Incidents","8","Number"
"2014-2015","Vernon School District","901378250","Number of students with at least 1 bullying incident","7","Number"
"2014-2015","Vernon School District","901378250","Counts of Bullying Incidents","9","Number"
"2015-2016","Vernon School District","901378250","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Vernon School District","901378250","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Voluntown School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Voluntown School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Voluntown School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Voluntown School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Voluntown School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Voluntown School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Voluntown School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Voluntown School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Wallingford School District","900978740","Number of students with at least 1 bullying incident","23","Number"
"2012-2013","Wallingford School District","900978740","Counts of Bullying Incidents","26","Number"
"2013-2014","Wallingford School District","900978740","Number of students with at least 1 bullying incident","10","Number"
"2013-2014","Wallingford School District","900978740","Counts of Bullying Incidents","10","Number"
"2014-2015","Wallingford School District","900978740","Number of students with at least 1 bullying incident","9","Number"
"2014-2015","Wallingford School District","900978740","Counts of Bullying Incidents","10","Number"
"2015-2016","Wallingford School District","900978740","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Wallingford School District","900978740","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Waterbury School District","900980070","Number of students with at least 1 bullying incident","34","Number"
"2012-2013","Waterbury School District","900980070","Counts of Bullying Incidents","39","Number"
"2013-2014","Waterbury School District","900980070","Number of students with at least 1 bullying incident","33","Number"
"2013-2014","Waterbury School District","900980070","Counts of Bullying Incidents","41","Number"
"2014-2015","Waterbury School District","900980070","Number of students with at least 1 bullying incident","6","Number"
"2014-2015","Waterbury School District","900980070","Counts of Bullying Incidents","7","Number"
"2015-2016","Waterbury School District","900980070","Number of students with at least 1 bullying incident","7","Number"
"2015-2016","Waterbury School District","900980070","Counts of Bullying Incidents","10","Number"
"2012-2013","Waterford School District","901180280","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Waterford School District","901180280","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Waterford School District","901180280","Number of students with at least 1 bullying incident","6","Number"
"2013-2014","Waterford School District","901180280","Counts of Bullying Incidents","8","Number"
"2014-2015","Waterford School District","901180280","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Waterford School District","901180280","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Waterford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Waterford School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Watertown School District","900580490","Number of students with at least 1 bullying incident","7","Number"
"2012-2013","Watertown School District","900580490","Counts of Bullying Incidents","9","Number"
"2013-2014","Watertown School District","900580490","Number of students with at least 1 bullying incident","7","Number"
"2013-2014","Watertown School District","900580490","Counts of Bullying Incidents","7","Number"
"2014-2015","Watertown School District","900580490","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Watertown School District","900580490","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Watertown School District","900580490","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Watertown School District","900580490","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Westbrook School District","900781680","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Westbrook School District","900781680","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Westbrook School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Westbrook School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Westbrook School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Westbrook School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Westbrook School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Westbrook School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","West Hartford School District","900382590","Number of students with at least 1 bullying incident","24","Number"
"2012-2013","West Hartford School District","900382590","Counts of Bullying Incidents","31","Number"
"2013-2014","West Hartford School District","900382590","Number of students with at least 1 bullying incident","22","Number"
"2013-2014","West Hartford School District","900382590","Counts of Bullying Incidents","36","Number"
"2014-2015","West Hartford School District","900382590","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","West Hartford School District","900382590","Counts of Bullying Incidents","7","Number"
"2015-2016","West Hartford School District","900382590","Number of students with at least 1 bullying incident","10","Number"
"2015-2016","West Hartford School District","900382590","Counts of Bullying Incidents","11","Number"
"2012-2013","West Haven School District","900982870","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","West Haven School District","900982870","Counts of Bullying Incidents","-9999","Number"
"2013-2014","West Haven School District","900982870","Number of students with at least 1 bullying incident","8","Number"
"2013-2014","West Haven School District","900982870","Counts of Bullying Incidents","8","Number"
"2014-2015","West Haven School District","900982870","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","West Haven School District","900982870","Counts of Bullying Incidents","-9999","Number"
"2015-2016","West Haven School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","West Haven School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Weston School District","900183430","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Weston School District","900183430","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Weston School District","900183430","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Weston School District","900183430","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Weston School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Weston School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Weston School District","900183430","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Weston School District","900183430","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Westport School District","900183500","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Westport School District","900183500","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Westport School District","900183500","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Westport School District","900183500","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Westport School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Westport School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Westport School District","900183500","Number of students with at least 1 bullying incident","6","Number"
"2015-2016","Westport School District","900183500","Counts of Bullying Incidents","8","Number"
"2012-2013","Wethersfield School District","900384900","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Wethersfield School District","900384900","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Wethersfield School District","900384900","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Wethersfield School District","900384900","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Wethersfield School District","900384900","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Wethersfield School District","900384900","Counts of Bullying Incidents","7","Number"
"2015-2016","Wethersfield School District","900384900","Number of students with at least 1 bullying incident","6","Number"
"2015-2016","Wethersfield School District","900384900","Counts of Bullying Incidents","6","Number"
"2012-2013","Willington School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Willington School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Willington School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Willington School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Willington School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Willington School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Willington School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Willington School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Wilton School District","900186370","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Wilton School District","900186370","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Wilton School District","900186370","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Wilton School District","900186370","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Wilton School District","900186370","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Wilton School District","900186370","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Wilton School District","900186370","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Wilton School District","900186370","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Winchester School District","900586440","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Winchester School District","900586440","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Winchester School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Winchester School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Winchester School District","900586440","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Winchester School District","900586440","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Winchester School District","900586440","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Winchester School District","900586440","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Windham School District","901586790","Number of students with at least 1 bullying incident","12","Number"
"2012-2013","Windham School District","901586790","Counts of Bullying Incidents","19","Number"
"2013-2014","Windham School District","901586790","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Windham School District","901586790","Counts of Bullying Incidents","6","Number"
"2014-2015","Windham School District","901586790","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Windham School District","901586790","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Windham School District","901586790","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Windham School District","901586790","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Windsor Locks School District","900387070","Number of students with at least 1 bullying incident","23","Number"
"2012-2013","Windsor Locks School District","900387070","Counts of Bullying Incidents","29","Number"
"2013-2014","Windsor Locks School District","900387070","Number of students with at least 1 bullying incident","10","Number"
"2013-2014","Windsor Locks School District","900387070","Counts of Bullying Incidents","14","Number"
"2014-2015","Windsor Locks School District","900387070","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Windsor Locks School District","900387070","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Windsor Locks School District","900387070","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Windsor Locks School District","900387070","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Windsor School District","900387000","Number of students with at least 1 bullying incident","9","Number"
"2012-2013","Windsor School District","900387000","Counts of Bullying Incidents","10","Number"
"2013-2014","Windsor School District","900387000","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Windsor School District","900387000","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Windsor School District","900387000","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Windsor School District","900387000","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Windsor School District","900387000","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Windsor School District","900387000","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Wolcott School District","900987560","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Wolcott School District","900987560","Counts of Bullying Incidents","6","Number"
"2013-2014","Wolcott School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Wolcott School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Wolcott School District","900987560","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Wolcott School District","900987560","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Wolcott School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Wolcott School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Woodbridge School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Woodbridge School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Woodbridge School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Woodbridge School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Woodbridge School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Woodbridge School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Woodbridge School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Woodbridge School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Woodstock Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Woodstock Academy District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Woodstock Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Woodstock Academy District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Woodstock Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Woodstock Academy District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Woodstock Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Woodstock Academy District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Woodstock School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Woodstock School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Woodstock School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Woodstock School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Woodstock School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Woodstock School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Woodstock School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Woodstock School District","","Counts of Bullying Incidents","-6666","Number"
